<title>《凡人修仙傳》▷ 第466章 寶光閣</title><br>&emsp;&emsp;韓立素然膽大，這一望之下仍覺得心神晃動，大有頭暈目眩之感。<br>
<br>&emsp;&emsp;強忍着心中的不適凝望了片刻後，他還是一無所獲的收回了目光。<br>
<br>&emsp;&emsp;他的神識雖然強大，可如此深邃的程度是無法探知到的。<br>
<br>&emsp;&emsp;然後韓立不再遲疑的直接向那閣樓走去。<br>
<br>&emsp;&emsp;離閣樓近了些後，才顯出它的高大雄偉，最起碼是普通樓閣的三四倍之大。<br>
<br>&emsp;&emsp;而樓閣的入口則是一個半圓形的拱門，兩丈來高，並有一層黃色光幕封住了拱門。<br>
<br>&emsp;&emsp;韓立到了門前時，打量了一下光幕。<br>
<br>&emsp;&emsp;略一歪頭想了想，手上青光一閃，一道尺許長的劍光出現在了手上。<br>
<br>&emsp;&emsp;韓立用手指輕輕一點，那青色劍光輕輕往光幕上一戳。<br>
<br>&emsp;&emsp;波紋盪漾，劍光輕易的插入了進去，絲毫阻礙都沒有。<br>
<br>&emsp;&emsp;這個情形，讓韓立有點意外，但隨即將青色劍光一收，將手臂同樣的伸了進去。<br>
<br>&emsp;&emsp;有點涼涼的，好似被一團液體包裹着的一樣。<br>
<br>&emsp;&emsp;韓立不再遲疑的身形往前一躥，人穿過光幕消失了。<br>
<br>&emsp;&emsp;但通過拱門後，站在閣樓裡面的韓立怔住了。<br>
<br>&emsp;&emsp;眼前竟出現了一排排丈許高的圓形玉臺，這些玉臺大小不一，由白色晶瑩的美玉製成，密密麻麻分佈在韓立面前。石臺上有光華在閃動，顏色各異的半圓形光罩倒扣在臺面之上，裡面似乎都有東西存在的樣子。<br>
<br>&emsp;&emsp;韓立目光微微一縮，露出一絲興奮之色。<br>
<br>&emsp;&emsp;當他一看到“寶光閣”三個字時。便已猜到自己很可能撞了大運。這個樓閣十有八九藏有的是古寶。<br>
<br>&emsp;&emsp;不過現在此樓閣空空無人，看來先前走這條通道地人，要麼早已選好了古寶而被挪移了出去，要麼就是到了二層。<br>
<br>&emsp;&emsp;想到這裡韓立細望了這些玉臺，果然發現有個別玉臺上並沒有那半圓形地光罩，而是空空如也的樣子。<br>
<br>&emsp;&emsp;至於而與通往第二層的樓梯？<br>
<br>&emsp;&emsp;韓立心裡納悶了起來。四處掃了一遍後，竟沒有發現！<br>
<br>&emsp;&emsp;好奇心大起的他重新尋覓了數遍後，目光落在了一個較爲特殊點的玉臺上。<br>
<br>&emsp;&emsp;這個玉臺在一層樓閣的後面，孤零零的單處一處，極爲扁平。四周雕刻着深奧晦澀的符趣記號。<br>
<br>&emsp;&emsp;韓立的眼神只在上面轉了幾圈後，就憑藉自己的陣法之學判斷出這是一個外形奇特地簡易傳送陣。<br>
<br>&emsp;&emsp;深望了兩眼後，他就收回了目光沿着一排排的玉臺慢慢走了過去，瀏覽起玉臺上的古寶起來。<br>
<br>&emsp;&emsp;隨着一件件的看下去，韓立的雙眉卻皺了起來。<br>
<br>&emsp;&emsp;“這些古寶，未免太次了點吧？”<br>
<br>&emsp;&emsp;只看了數十個玉臺後，韓立就完全失去了興趣。雙臂抱肩的站在原地喃喃起來，臉上露出一絲疑惑之色。<br>
<br>&emsp;&emsp;這些玉臺上的東西真不負“古寶”之名，每一件不是長戈，就是長戟之類地上古式樣。<br>
<br>&emsp;&emsp;雖然閃着顏色各異的寶氣，但韓立清楚，這些東西在蠻荒時候也就和現在修士使用的飛劍、飛刀之類的法寶是差不多的存在，一般不會有太驚人的神通。<br>
<br>&emsp;&emsp;當然也不能說它們真的沒有用處！<br>
<br>&emsp;&emsp;只是在擁有了青竹蜂雲劍這樣的法寶後，這等層次的韓立自然無法看入眼內。他更希望得到的是花籃那樣有特殊神通地古寶。<br>
<br>&emsp;&emsp;雖然這樣想着，但怕自己有什麼遺漏韓立還是強打精神的將所有玉臺都查看了一遍。<br>
<br>&emsp;&emsp;結果韓立嘆了一口氣，不再猶豫的走向了那個傳送陣。<br>
<br>&emsp;&emsp;他相信二樓應該有一些不同纔是。<br>
<br>&emsp;&emsp;在傳送陣上安裝上幾塊靈石後。韓立在一陣白光中到了新的處所。<br>
<br>&emsp;&emsp;這就是寶光閣的二層？<br>
<br>&emsp;&emsp;韓立微眯起了雙目盯着前方，雙脣緊閉了起來。<br>
<br>&emsp;&emsp;此處空間不大，除了身前不遠處的一個球形巨大光罩外，四周空蕩蕩的什麼東西都沒有。<br>
<br>&emsp;&emsp;而這個高約十幾丈的光罩，散發着蔚藍柔和的光芒，離地丈許高的在二層中心處極爲奪目。<br>
<br>&emsp;&emsp;其內有數十件造型各異地古寶在裡面靜靜漂浮着。<br>
<br>&emsp;&emsp;有書卷、玉牌、圓鉢、黑幡等韓立知道的還有未認出的東西，竟沒有一樣重複的。<br>
<br>&emsp;&emsp;看到這裡，韓立心中大喜，知道自己來對了地方。<br>
<br>&emsp;&emsp;不過這些東西就這樣明目張膽的放在這裡，若是好收取地話早就被先前來地修士刮分光了。哪還輪的到他、<br>
