<title>《一念永恆》▷ 第842章 天尊血發</title><br><p>&emsp;&emsp;第842章 天尊血發</p>
<br><p>&emsp;&emsp;不但是白小純傻眼，那被守陵人一把抓住的魂塔內的白浩，也都傻眼了，他在那魂塔內，目瞪口呆的看着守陵人，滿腦子都是嗡嗡的。</p>
<br><p>&emsp;&emsp;實在是這一幕逆轉太大，之前的激戰，白浩魂不敢出現，直至到了這冥河後，他纔在魂塔內，小心翼翼的觀望外界，也聽到了方纔守陵人的話語，甚至對於自己師尊要成爲冥皇而激動。</p>
<br><p>&emsp;&emsp;可卻怎麼也沒想到，下一瞬，自己就被守陵人抓了出來，更是說出了……冥皇繼承人居然選中了自己。</p>
<br><p>&emsp;&emsp;“前輩，您……您是不是弄錯了，我……”白浩心神震動，擔心白小純不悅或是誤會，焦急的趕緊開口，一旁的白小純睜着大眼睛，他倒沒有什麼不高興，而是此刻滿腦子都在迴盪一個念頭。</p>
<br><p>&emsp;&emsp;“我的徒兒要成爲下一代冥皇？”</p>
<br><p>&emsp;&emsp;“天啊，這是真的麼……”</p>
<br><p>&emsp;&emsp;“我的徒兒如果是下一代冥皇，這整個蠻荒，誰敢惹我！！”白小純腦海裡浮現的，全部都是這樣的思緒，越想越是激動，尤其是一想到，以後誰惹自己，只要自己一擡手，徒兒就能將其鎮壓的一幕幕後，他就更是振奮無比，只覺得下一瞬，自己就天下無敵了……</p>
<br><p>&emsp;&emsp;“什麼九幽王，大天師，陳好鬆，誰敢惹我，誰敢瞪我！！”在這激動中，白小純得意忘形的一拍大腿，仰天大笑中，他興致盎然到了極致。</p>
<br><p>&emsp;&emsp;“妙啊，老爺爺你這個人選實在是太妙了，我這徒兒天生就適合作爲冥皇啊，整個蠻荒，再沒有比他更適合的了。”白小純激動開口時，眼看白浩焦急的似要說些什麼，於是很是決斷的一擺手，擺出師尊的姿態。</p>
<br><p>&emsp;&emsp;“這個事，我作爲他的師父，就代白浩同意了，就這麼定了！”</p>
<br><p>&emsp;&emsp;守陵人目光深邃，看了看白小純，又看向白浩，沒有人在這之前，能猜到他的想法，實際上……從最早的時候，他對於自己的繼承人，選擇的就不是白小純，哪怕白浩，也只是他的候選人之一！</p>
<br><p>&emsp;&emsp;如週一星，如當年的陳家天驕的魂，還有很多……都是守陵人選擇的候選人，甚至冥榜上的那些，也都是候選人，只不過……如何能從衆多的候選人裡，晉升到真正的繼承人，重點不是守陵人，而是……白小純！</p>
<br><p>&emsp;&emsp;因爲在守陵人的眼中，白小純的存在，比冥皇接班人，還要重要，所以他自然不可能讓白小純成爲冥皇，因爲在守陵人的期待中，白小純將有更大的使命。</p>
<br><p>&emsp;&emsp;所以，當年白小純第一次出現在蠻荒的叢林時，纔會巧合無比的，與白浩相遇，當時白小純離開叢林時，守陵人的身影就曾出現過，那個時候他目中的深邃，與現在一模一樣。</p>
<br><p>&emsp;&emsp;所以，在煉魂壺內，白小純纔會與白浩的魂相遇……</p>
<br><p>&emsp;&emsp;守陵人的目的，就是要讓白小純與白浩產生一個接觸的機會，乃至後面的很多事情，都有守陵人在暗中的推動，這一點當年白小純也產生過一些疑惑，可卻線索太少，找不到答案，也就沒有去太過關注。</p>
<br><p>&emsp;&emsp;只不過，就算是守陵人，也都沒想到，白小純與白浩之間的師徒感情，隨着一次又一次的事情，深厚到了極致，畢竟他能做的，也只是給白浩一個機會而已，如果他能得到白小純的認可，那麼……他就可以從候選人，晉升爲真正的繼承人！</p>
<br><p>&emsp;&emsp;而如果白浩做不到這一點，那麼守陵人會毫不猶豫的將其替換掉，選擇其他的候選人，來推動他們與白小純接觸，直至找到一個，能讓白小純認可之人，成爲自己的繼承者。</p>
<br><p>&emsp;&emsp;因爲，在他的思緒裡，白小純的認可，纔是成爲冥皇繼承人的唯一條件！</p>
<br><p>&emsp;&emsp;只不過這些事情，他不會去開口告訴白小純，此刻目光深邃依舊，在白小純與白浩身上看了看後，守陵人最終望向白浩，聲音滄桑，似從歲月而來，緩緩開口。</p>
<br><p>&emsp;&emsp;“白浩，你願意成爲老夫的繼承人麼？”</p>
<br><p>&emsp;&emsp;“師尊……”白浩有些忐忑，這件事情的發展，讓他措手不及，此刻連忙看向師尊。</p>
<br><p>&emsp;&emsp;“趕緊同意啊，乖徒兒，這可是你的造化！”白小純生怕自己這個弟子關鍵時刻昏了頭，於是焦急道，在他看來，這對白浩來說，是天大的好事。</p>
<br><p>&emsp;&emsp;白浩遲疑了一下，望着師尊，目中露出複雜，實際上在他看來，冥皇繼承人什麼的，他不在意，哪怕一步登天，可也比不過能伴隨在師尊的身邊來的快活。</p>
<br><p>&emsp;&emsp;對他而言，師尊是唯一的親人，也是他唯一認可之人，其重要的程度，超越了一切。</p>
<br><p>&emsp;&emsp;可他也明白，師尊在蠻荒得罪的人太多了，而一旦自己成爲了下一代冥皇，整個蠻荒將沒有人敢去招惹自己的師尊。</p>
