<title>《玄界之門》▷ 第九百三十一章 局勢扭轉</title></p><p>&emsp;&emsp;（忘語因爲不滿意，上一章作了不少修改，大家有時間話可以去重新看下啊。）</p>
</p><p>&emsp;&emsp;眼見黃雲旋渦下的空間通道被堵住，趙朱明等人頓時大喜過望，三族大軍也是士氣大漲。</p>
</p><p>&emsp;&emsp;以趙朱明，磐龜族大漢兩名神境大能爲先鋒，三族之人彷彿一柄尖刀，徑直殺入了有些混亂的天庭大軍。</p>
</p><p>&emsp;&emsp;……</p>
</p><p>&emsp;&emsp;半空的六色祥雲深處，毗盧仙將等六人的廝殺還在激烈進行。</p>
</p><p>&emsp;&emsp;毗盧仙將神情肅穆，身周黑光閃爍，九死輪迴魔功已經施展到了極致，在身後凝聚成一個巨大圓盤虛影，圓盤之上有九個漆黑門戶，每個漆黑門戶都噴出一道粗大黑**氣。</p>
</p><p>&emsp;&emsp;九道魔氣每一道都各不相同，有的輕靈如霧，有的凝重如水，還有的魔氣中無數鬼影閃爍，發出猶如百鬼嚎哭般的聲音。</p>
</p><p>&emsp;&emsp;每一道魔氣威力都是極大，散發出吞天噬地的可怖威勢，所過之處一切都化爲了虛無。</p>
</p><p>&emsp;&emsp;不過陸馗鍾和狄彥二人也毫不示弱。</p>
</p><p>&emsp;&emsp;陸馗鍾此刻已經顯出了部分妖族本體特徵，周身被一塊塊土黃色鱗甲所覆蓋，綻放出渾厚的黃芒，神境中期巔峰的威壓徹底散發開來，舉手投足間，都散發出毀山崩海的莫大威能。</p>
</p><p>&emsp;&emsp;狄彥也已經化爲妖族本體，全身長出無數粗大無比的藍色骨刺，看上去猙獰無比。</p>
</p><p>&emsp;&emsp;他手中那杆藍色大旗靈寶靈光綻放，旁邊浮現出無數藍色花朵，輕輕一晃，便發出隆隆波濤的聲音。</p>
</p><p>&emsp;&emsp;兩人聯手將毗盧仙將的所有攻擊盡數接下，雖然稍處下風，但是絲毫未見頹勢。</p>
