<title>《鬥破蒼穹》▷ 第1563章 平靜</title></p><p>&emsp;&emsp;第1563章 平靜</p>
</p><p>&emsp;&emsp;第一千五百三十六章 平靜</p>
</p><p>&emsp;&emsp;再度回到天府聯盟，又是一番別外感觸，在蕭炎離開的數月中，聯盟的聲勢依舊保持着蒸蒸日上，在戰勝了魂殿之後，聯盟保持的不驕不躁，讓得不少宗派勢力都是暗暗點頭，一個勢力的強大與否，不僅要看他們在逆境時的堅強，同時還要看他們能否頂得住成功之後的侵蝕，不過所幸，聯盟頂住了，所以，他們的強大，已是無人能夠質疑。</p>
</p><p>&emsp;&emsp;這數月中，再沒有傳出過任何與魂殿有關的消息，以往那種劇烈的摩擦，也是驟然縮減無數倍，那般模樣，就如同那曾經佔據中州霸主地位的勢力，想要逐步的淡出人們的視野一般。</p>
</p><p>&emsp;&emsp;而對於魂殿的這種反常行爲，聯盟高層，卻是保持着極深的警惕，與魂殿交手這麼多年，對於他們的性子，聯盟高層再清楚不過，因此是絕對不相信，這個詭異的勢力，在吃了這麼大的虧後，會如此輕易的善罷甘休，但讓得人有些困惑的是，即便他們派出了大量的探子想要查探魂殿的舉動，可最後卻依舊未曾得到半點有價值的情報</p>
</p><p>&emsp;&emsp;這一點，讓得聯盟困惑的同時，也是越來越警惕，魂殿的這種安靜，隱隱間讓得他們有一種風雨欲來的壓抑感覺。</p>
</p><p>&emsp;&emsp;在蕭炎回到聯盟時，那原本跟着前往獸域的小醫仙與青鱗也是早已歸來，從二女的嘴中得知，在他當日離去後，天妖凰族便是撤離而去，而後，九幽地冥蟒族在經過將近半月的討論後，居然是提出想要與天府結成戰略同盟的關係，而對於九幽地冥蟒族的這個提議，天府聯盟在經過一番商議後，也是欣然應喏，九幽地冥蟒族的實力雖然不及天妖凰族，但再怎麼說也是魔獸界三大族羣之一，而且，他們所擁有的數量，卻是遠非天妖凰族等種族能夠相比，而這種強有力的盟友，也正是如今的聯盟，最爲需要的。</p>
</p><p>&emsp;&emsp;雙方的聯盟，無疑也是在中州與獸域上掀起了不小的騷動，一些魔獸界中原本對九幽地冥蟒族有些念想的其他種族，在雙方聯盟後，卻是不得不收斂了這份心思，天府聯盟的實力如何，他們也是有所耳聞，放眼獸域之中，能夠與其相提並論的，恐怕也就天妖凰族能夠辦到，而九幽地冥蟒族若是有了這等盟友，那其地位，也是將會變得無可撼動，到時，就算是天妖凰族，恐怕都不敢再向上一次那般，興師動衆的大舉來犯了</p>
</p><p>&emsp;&emsp;九幽地冥蟒族從結盟中獲利不小，但同樣的，聯盟也是再次藉此壯了一把聲勢，能夠將魔獸界三大族羣之一的種族拉進聯盟，這可是中州之上的頭一遭，而如此一來，天府聯盟的手腳也是越發的蔓延，就算是那屬於魔獸的獸域之中，</p>
</p><p>&emsp;&emsp;在回到聯盟後，蕭炎也是將太虛古龍一族贊同聯盟之事與一些少數的頂尖高層說了一下，其結果自然是引來衆人的狂喜，太虛古龍一族，即便是在如今的很多中州強者眼中，都是相當神秘強大的存在，當年太虛古龍一族鼎盛時期的威風，直到現在，都是讓得一些人記憶尤深，這般聯盟對於天府來說，倒的確是一件極具震撼性的消息。</p>
</p><p>&emsp;&emsp;這種對於天府有着巨大好處的聯盟，並沒有引來任何的爭論，幾乎是當場便是敲板，不過這個震撼性的消息，最後並沒有被宣佈出去，這種強力盟友，若是隱藏在暗處的話，對於天府聯盟來說，反而會取到出其不意的效果，而且，這樣也是能夠儘量的多給予一些太虛古龍一族休養的時間。</p>
</p><p>&emsp;&emsp;回到聯盟，沒有了魂殿的挑釁，蕭炎的生活，再度變得異常的清閒起來，彩鱗閉關多年，如今再度回來見到蕭瀟，母女倆幾乎甜甜膩在一起，看得蕭炎也是無奈，而聯盟之中的事他又插不上手，因此倒是過得相當的清閒，而在這些清閒的日子裡，他除了必要的修煉之外，所有的心神，便是投注在了小伊體內的那九玄金雷的力量上。</p>
</p><p>&emsp;&emsp;對於那股力量，蕭炎一直都很是垂涎，不過卻不敢輕易的吸收，因此這段時間，他幾乎是在日夜研究着這東西，但在他這種廢寢忘食般的研究下，那道九玄金雷的金光雷龍不僅未變得柔順一點，反而在小伊淨蓮妖火不斷的煉化下，逐漸的凝聚成了一枚約莫半個拳頭大小的金色雷珠。</p>
</p><p>&emsp;&emsp;這顆金色雷珠在成形後，便是懸浮在小伊的右手臂之中，無論蕭炎或者小伊施展何種方法，都是無法將其煉化， 即便是使用淨蓮妖火狠狠的灼燒，可所取得的效果，依舊是微乎其微，對於這種情況，蕭炎也是倍感無奈，只能暫時的放棄了這種念頭，任由那金色雷珠留在小伊的手臂之內。</p>
</p><p>&emsp;&emsp;在蕭炎解決金色雷珠失敗後，空閒時間不少的他便是應了藥老的一道任務，帶了一隊聯盟的強者，搜尋着那些曾經被探測到過的魂殿分殿，不過將近一月搜尋下來，卻是發現所有被聯盟發現的分殿，都是變得空空蕩蕩，其中的靈魂以及所蒐集的靈魂本源，都是被盡數取走，想來是魂殿早便是預料到聯盟會來這一招，因此也是果斷的拋棄了這些被發現的分殿。</p>
</p><p>&emsp;&emsp;對於這種情況，蕭炎也是有些無奈，看來經歷了上一次人殿被毀的事情後，魂殿也是學得精明瞭起來。</p>
</p><p>&emsp;&emsp;一番無謂的搜刮，蕭炎最後也只能在將這些分殿搗毀後，便是帶着人無功而返，不過對於他這種結果，藥老卻只是淡淡笑了笑，倒是並未感到太多的意外。</p>
</p><p>&emsp;&emsp;“根據我們得到的情報，魂殿幾乎放棄了任何有可能被我們所發現的分殿，其中的東西，也是被盡數的搬空，不過讓得人有些疑惑的是，即便是魂殿擔心我們搗毀這些分殿，也不用撤得如此的乾淨吧？”在星界之中的的一座石亭之中，藥老望着面前帶隊歸來的蕭炎，緩緩的道。</p>
</p><p>&emsp;&emsp;蕭炎也是微微點頭，一些分殿規模極小，根本就讓人提不起半點的興趣興師動衆的去摧毀，可就算是這些小的分殿，也是撤得只剩灰塵，這撤得，也太乾脆了。</p>
</p><p>&emsp;&emsp;“我已讓人趕往獸域，請求九幽地冥蟒族幫忙調查此事，他們數量龐大，而且對於探查的事，遠比我們更順手，魂殿這般作爲，必然是有着隱情”藥老沉聲道。</p>
</p><p>&emsp;&emsp;“事出反常必有妖，這魂殿不知道究竟是想要做什麼。”蕭炎也是緊皺着眉頭，隱隱間，他感覺到這一次，魂殿此次，所圖恐怕不小。</p>
</p><p>&emsp;&emsp;“胡亂猜測也是無用， 一切都等最後的探測結果吧。”藥老也是搖了搖頭，這種只能靜等的感覺，可略微的有些不太好受。</p>
</p><p>&emsp;&emsp;蕭炎點點頭，目光突然看向藥老，輕聲道：“老師，藥族的藥典，恐怕快了吧？”</p>
</p><p>&emsp;&emsp;聽得此話，藥老剛剛端起茶杯的手掌頓時一抖，沉默了一下，旋即微微點頭，道：“一月之後。”</p>
