<title>《鬥破蒼穹》▷ 第1180章 重頭戲</title><br><p>&emsp;&emsp;第1180章 重頭戲</p>
<br><p>&emsp;&emsp;第一千一百五十七章 重頭戲</p>
<br><p>&emsp;&emsp;這裡是一片規模浩大得令人感到震撼的廣場，在廣場周圍，密密麻麻的人海一直蔓延至視線的盡頭，震天的鼎沸喧譁之聲，如同巨龍咆哮一般，在整個天際響徹不休，在這等可怕的音波衝擊下，即便是天空上的雲層，都是因此被摧殘成零零碎碎</p>
<br><p>&emsp;&emsp;在廣場的半空中，懸浮着衆多的石臺，這些石臺，將會是全場最爲矚目的焦點所在，因爲這次丹會的最後交鋒，便是將會這上面展開。</p>
<br><p>&emsp;&emsp;經過前幾日的略微低迷，今日的這片廣場，人氣無疑是達到了一個頂點，因爲今天，便是那丹界開啓之時，只有順利從丹界出來的煉藥師，方纔具備着繼續參加丹會的資格！</p>
<br><p>&emsp;&emsp;全場的氣氛，極度的火爆，無數道目光皆是望着廣場中央處，那裡，有着一座由黑色岩石所搭建而成的巨門，在那巨門中，空間波動呈現扭曲之狀，這是丹界的出口，再過得不久，那些順利通過第二道關卡的參賽者們，便是將會從這裡出來</p>
<br><p>&emsp;&emsp;廣場的一處高臺上，小醫仙等人的目光也是緊緊的鎖定着那空間大門，臉頰上，有着一抹細微的緊張之色，雖然對蕭炎的能力很有信心，但對於那丹界之內的慘烈競爭，她同樣也是略知一二.</p>
<br><p>&emsp;&emsp;“呵呵，不用太過擔心，這段時間不斷的有着參賽者自己捏碎空間石出來，若是蕭炎也出來的話，必然會來找我們的。”一旁的葉重見狀，笑了笑，安慰了一聲，旋即又覺得此話有點不妥，又幹笑道：“而且以蕭炎的精明，通過這第二關卡，並沒有什麼問題的。”</p>
<br><p>&emsp;&emsp;對於葉重的安慰，小醫仙也只能無奈的搖了搖頭，剛欲說話，美目卻是猛的轉向場中，那裡的空間大門，突然間瀰漫出了一陣陣劇烈的空間波動。</p>
<br><p>&emsp;&emsp;“空間大門開啓了！”</p>
<br><p>&emsp;&emsp;在那空間波動出現的霎那，周圍那看不見盡頭的人海，頓時爆發出驚天的歡呼聲，旋即無數道熾熱的目光豁然轉移，然後停在了那空間大門處。</p>
<br><p>&emsp;&emsp;在這全場所有目光的注視下，那空間大門的波動越來越劇烈，到得後來，一道道身影，也終於從中緩步而出，最後在那滿場的歡呼聲中，腳掌落在了廣場地面之上。</p>
<br><p>&emsp;&emsp;面對着這些成功出來的參賽者，看臺上爆發出了震耳欲聾的歡呼聲，能夠走到這裡的人，基本上已經能夠算做是全大陸煉藥師中的佼佼者，即便他們此刻放棄參賽，也將會被一些勢力奉爲上賓。</p>
<br><p>&emsp;&emsp;伴隨着越來越多的人影陸續從空間大門之內走出，那歡呼聲也是越發的高漲，龐大的廣場，都是在這可怕的聲波下發出細微的顫抖。</p>
<br><p>&emsp;&emsp;“轟！”</p>
<br><p>&emsp;&emsp;空間大門再次波動，旋即一道極其吸引人眼球的曼妙倩影，緩步而出，然後暴露在了那溫暖的陽光之下，頓時，場中的歡喝聲，也是隨之高漲，曹穎的名頭，這些年中，可是相當之響亮，所有人都知道，她將會是此次丹會冠軍的有力爭奪者。</p>
<br><p>&emsp;&emsp;與曹穎相比，其身後的宋清的光芒則是顯得黯淡了一些，在這等妖女的光芒下，即便他也是號稱天才，但卻始終難以與之相媲美。</p>
<br><p>&emsp;&emsp;繼曹穎之後，又是有着大批的人影行出，但繞是小醫仙等人如何尋找，都是未曾看見蕭炎的身影，當下那張俏臉，便是略微有些變化，玉手也是忍不住的緩緩緊握了起來，如果蕭炎在丹界出了什麼意外，難以想象她將會陷入何等的瘋狂</p>
<br><p>&emsp;&emsp;望着小醫仙那越發冰冷的臉頰，一旁的葉重也是不敢再說什麼，他的心頭也是開始有些忐忑起來，丹界之內，最大的敵人不是其內的魔獸，而是其他的參賽者，爲了能夠使自己多一分成功機率，一些實力強的人，恐怕會對那些有可能會對他們造成危機的參賽者下殺手.</p>
<br><p>&emsp;&emsp;別的地方歡喝聲震天，但這一小片區域，卻是顯得格外的寂靜，這種時候，即便是連天火尊者眉頭都是忍不住的微微皺起，原本悠閒搭在一起的手指，也是被其不自覺的鬆了開去。</p>
<br><p>&emsp;&emsp;就在小醫仙幾人心頭逐漸下沉時，那空間大門，再次盪漾起一陣波動，旋即一道削瘦身影，緩緩出現，最後從那空間大門之中踏出，落在地面之上。</p>
<br><p>&emsp;&emsp;“是蕭炎大哥！”</p>
<br><p>&emsp;&emsp;見到這道削瘦身影，欣藍臉頰上頓時浮現一抹驚喜之色，急忙道。</p>
<br><p>&emsp;&emsp;聞言，小醫仙等人心頭也是一振，目光迅速望去，果然是見到了那那道異常熟悉的身影，當下幾人皆是鬆了一口氣。</p>
<br><p>&emsp;&emsp;“呵呵，我就說，以蕭炎先生的實力，怎麼可能會過不了這第二關”此時那葉重也是放下心頭的大石，笑着道。</p>
<br><p>&emsp;&emsp;在衆人鬆氣間，場中出了空間大門的蕭炎，目光突然轉了過來，旋即衝着他們笑着點了點頭。</p>
<br><p>&emsp;&emsp;“這傢伙”</p>
<br><p>&emsp;&emsp;見到蕭炎那氣定神閒的模樣，小醫仙不由得搖了搖頭，無奈的低聲道。</p>
<br><p>&emsp;&emsp;龐大的廣場中央，蕭炎聽得那周圍的鼎沸之聲，不由得有些恍惚，這段時間在那丹界中，安靜是安靜，但卻總是覺得少了點什麼，如今一出來方纔發現，原來是少了人氣。</p>
<br><p>&emsp;&emsp;站於廣場之內，蕭炎目光四處掃視一片，望着那還在源源不斷吐出人來的空間大門，眼中不由得掠過許些訝異，看廣場上的這些數量，恐怕至少也是有着上千之數，他倒是未曾料到，經過兩輪的篩選，能夠留下的，居然還有這般多人，如此數量的煉藥師齊聚，即便是當年加瑪帝國的那煉藥師大會，都是遠遠不及，當然，這不僅是數量，還有質量上差距，在這裡隨便拿出一人，便是足以輕鬆獲得那煉藥師大會的冠軍.</p>
<br><p>&emsp;&emsp;掃視的目光，片刻後，突然頓在那廣場的一處最高席位上，那裡，有着一些即便是蕭炎，都是感覺到一種壓抑的浩瀚氣息。</p>
<br><p>&emsp;&emsp;“丹塔三巨頭麼.”</p>
<br><p>&emsp;&emsp;蕭炎的目光在那三道身影上掃過，旋即微微一愣，因爲他發現，那位他從未見過的旗袍美婦，此刻一對目光，正將自己牢牢的盯着。</p>
<br><p>&emsp;&emsp;雖然以前並未見過這位神秘美婦，但從她所站的位置，便是能夠知道她的身份，當下心頭也是微凜，這等階別的存在，現在的他可還招惹不起，因爲也不敢將目光過多的停留，瞟了一眼便是迅速移開</p>
<br><p>&emsp;&emsp;“他便是蕭炎麼？藥塵的弟子？”</p>
<br><p>&emsp;&emsp;萬衆矚目的高臺之上，美婦盯着廣場中的蕭炎，突然輕聲道。</p>
<br><p>&emsp;&emsp;“呵呵，嗯，他便是蕭炎.”一旁的玄空子笑眯眯的點了點頭，目光在蕭炎身上一掃，面色突然一動，一道驚咦聲，從其嘴中傳出。</p>
<br><p>&emsp;&emsp;“發現了麼？這小傢伙的靈魂波動，似乎有些奇異，若是我所料不差的話，他可能接觸到了靈境.”美婦微微一笑，緩緩說道。</p>
<br><p>&emsp;&emsp;“是有些靈境靈魂的模樣.”一旁那皮膚黝黑的老者，顯得頗爲嚴厲的老者也是點了點頭，臉龐上劃過一抹訝異，道：“藥塵這老傢伙，眼光的確很準，真是讓人羨慕.”</p>
<br><p>&emsp;&emsp;“若是他真的晉入了靈境，這一次的丹會，即便是曹穎與丹晨，想要勝他都是有些難度”美婦笑道。</p>
<br><p>&emsp;&emsp;玄空子點了點頭，在上一次見到蕭炎時，後者卻並未給他這種感覺，顯然，這種變化，應該是與此次的丹界之行有關係。</p>
<br><p>&emsp;&emsp;“唉，難道想贏那老傢伙一次，真的這麼難麼”</p>
<br><p>&emsp;&emsp;廣場中，當那空間大門的波動持續了將近半個小時左右時，終於是逐漸的停歇，而那扭曲的空間波動，也是徐徐散去，空間大門，再度回覆平靜。</p>
<br><p>&emsp;&emsp;在空間大門關閉時，廣場上的那些參賽者數量又是多了不少，看得蕭炎心頭微驚，這些人，幾乎是來自鬥氣大陸各個地方的優秀煉藥師啊，想要獲得丹會冠軍，那麼便是得踏着其他人的腦袋，一步步的往上爬，直到停留在頂峰那一刻！</p>
<br><p>&emsp;&emsp;當空間大門關閉那一刻，原本異常喧譁的廣場，反而是變得平靜了許多，所有人都知道，接下來，方纔是此次丹會的真正重頭戲！</p>
<br><p>&emsp;&emsp;高臺上，玄空子目光掃視全場，輕輕的咳嗽聲，在每一人耳邊響徹，令得所有人的目光，都是匯聚在了他的身上。</p>
<br><p>&emsp;&emsp;“首先，恭喜能夠站在這裡的你們，你們通過了第二輪的篩選.不過你們也應該知道，接下來的這一輪，方纔是丹會最爲重要的一項，能夠在這一輪中站到最後者，那他，便將會是這一屆的丹會冠軍！”</p>
<br><p>&emsp;&emsp;“天空上的石臺，是屬於你們表演的舞臺，在那裡，希望你們能夠綻放出人生最爲璀璨的時刻！”</p>
<br><p>&emsp;&emsp;“榮耀，將會在你們之中，誕生！”</p>
<br><p>&emsp;&emsp;短短一席話，卻是猶如引爆炸藥的火星般，轟然間，這片天地爲之沸騰！</p>
<br><p>&emsp;&emsp;煉藥界最爲盛大的大會，在這一刻，終於是徹底來到！</p>
