<title>《鬥破蒼穹》▷ 第377章 暴露</title><br><p>&emsp;&emsp;第377章 暴露</p>
<br><p>&emsp;&emsp;第三百四十九章 暴露</p>
<br><p>&emsp;&emsp;大隊人馬從道路之上呼嘯而過，帶起一路黃塵，沿途嬉笑喝罵聲，不絕於耳。</p>
<br><p>&emsp;&emsp;在人馬隊伍的末端，是一些推着馬車以及扛着旗跑的人，他們並沒有身穿與前面那些傭兵同樣的服飾，因爲他們僅僅是傭兵團中一些負責洗衣做飯搭帳篷的下人而已，在這隊滿臉佈滿灰塵的僕人隊伍中，一個推着車架，腦袋上戴着一頂破爛遮陽帽子的人忽然微微擡頭，那張被灰塵佈滿的臉龐，除了一對黑色眼睛能夠瞧清之外，其他的幾乎全部被掩蓋在了黃塵下，一眼看去，幾乎和旁邊那些臉色木然的奴僕沒什麼兩樣。</p>
<br><p>&emsp;&emsp;“不愧是鎮守邊關的要塞啊，這規模，實在讓人咂舌，遠非帝國內部的那些城市可以比喻啊”望着那隨着距離的接近，而越加顯得龐大的高聳城牆，他忽然低低的嘆息了一聲，聽聲音，原來竟然是蕭炎，看這情況，他似乎是打算藉着這支傭兵團，然後混出這座帝國最後的要塞。</p>
<br><p>&emsp;&emsp;隊伍在黃塵中，越加接近城牆，當在即將接近那巨大城門幾百米外時，蕭炎眼睛微眯的望了一眼城牆上空處，在那裡，似乎隱隱有着點點無形的能量波動。</p>
<br><p>&emsp;&emsp;“果然是有着能量感應啊，還好沒有強行飛躍，不然的話，那些看不見的能量感應，恐怕會立刻暴露身形，而一旦被發現，以這種軍事要塞所配備的特殊強弩器械，那可就真的成了任人狂射的靶子了.”蕭炎微微皺了皺眉，雖然若是藉助了藥老的力量，普通劍弩難以傷到他，可那種經過特殊打造的稀少金屬弩器，卻是依然能夠在他措手不及下，讓其大爲忌憚，畢竟，藥老的能量，能夠讓得蕭炎發揮力量，可卻並不會讓得他的肉體強橫到能夠與勁弩硬拼的地步，而且，作爲這般龐大的帝國，若是說其沒有對付高階強者的東西，還真是難以讓人相信，那些所謂的破氣三連弩，神火弓，穿魂箭等等名頭，蕭炎也曾經聽說過，只不過這種奇兵，太難以鍛造，因此也就就有少數的軍隊有所配備而已。</p>
<br><p>&emsp;&emsp;隨着距離城門越來越近，蕭炎的目光也是落在了那高聳的城門處，當瞧得城門處那幾乎能夠稱得上森嚴的防衛後，眉頭又是緊緊皺起。</p>
<br><p>&emsp;&emsp;在距離城牆尚還有百米左右時，奔馳的大隊人馬終於是緩緩停了下來，從那傭兵團前方走出兩名男子，然後揮手帶隊，對着城門處行去。</p>
<br><p>&emsp;&emsp;兩名男子似乎是傭兵團的首領，瞧得兩人與那些守衛笑談的模樣，貌似還與他們頗爲熟悉，想必應該不是第一次來到這“鎮鬼關”吧。</p>
<br><p>&emsp;&emsp;兩人在與守衛談了半天后，那臉色冷漠的守衛手掌動了動，似乎是被那位傭兵團首領塞了點什麼東西，然後方纔有些遲疑的點了點頭，對着後方打了一個手勢，那門口堵得死死的拒馬角等東西，便是被搬了開去。</p>
