<title>《鬥破蒼穹》▷ 第1258章 封印消失</title><br><p>&emsp;&emsp;第1258章 封印消失</p>
<br><p>&emsp;&emsp;第一千兩百三十四章 封印消失</p>
<br><p>&emsp;&emsp;尖銳的音波在巨大的主殿之內傳播而開，令得不少強者面色都是微微一變，他們能夠感覺到這道聲音主人那異常強悍的實力。</p>
<br><p>&emsp;&emsp;在所有人爲之驚疑間，破風聲突然在大殿之外響起，旋即黑霧鋪天蓋地的自殿外涌來，最後匯聚在大殿半空，黑霧散去，幾道身影已是顯露而出，那獨特的出場方式，頓時讓得不少人認出了他們的身份。</p>
<br><p>&emsp;&emsp;“居然是魂殿的人？”</p>
<br><p>&emsp;&emsp;見到來者等人的身份，不少人心頭都是一跳，眉頭緊皺，魂殿的實力，大陸上的人都是衆所周知，若是他們也要來搶奪天階鬥技的話，那無疑將會令得本就混亂的局面更加複雜。</p>
<br><p>&emsp;&emsp;蕭炎目光盯着半空處，臉龐上的冷笑，卻是越發濃郁，那幾道身影最前方，一名身着灰白衣衫，乾枯的面龐掛着一絲陰冷笑意的老者憑空而立，那容貌，赫然便是與蕭炎拼得兩敗俱傷的摘星老鬼。</p>
<br><p>&emsp;&emsp;“傷勢全好了麼.”</p>
<br><p>&emsp;&emsp;蕭炎瞥了一眼摘星老鬼，旋即目光停留在後者右手臂處，卻是隻見到一截空蕩蕩的袖子，當下眉頭就是一挑，看來這老怪雖然在毀滅火蓮下撿了一條命，可也付出了不小的代價啊。</p>
<br><p>&emsp;&emsp;“嘿，這摘星老鬼現在變成獨臂老鬼了。”小醫仙微笑道，笑聲中有着許些幸災樂禍的味道。</p>
<br><p>&emsp;&emsp;半空中，摘星老鬼俯視全場，怪笑道：“桀桀，果真是熱鬧啊，沒想到這遺蹟竟然吸引來了這麼多的人，我等守在這裡收靈魂的話，恐怕倒是會撈得盆滿鉢滿啊。”</p>
<br><p>&emsp;&emsp;這老鬼的一句話，頓時讓得不少人眼中流露出許些厭惡之色，魂殿四處抓捕靈魂的事在中州上早不是什麼稀罕事，這種行爲自然有不少人不齒，但礙於魂殿那恐怖的實力，倒是無人敢與他們做對而已。</p>
