<title>《鬥破蒼穹》▷ 第48章 鬥氣閣</title></p><p>&emsp;&emsp;第48章 鬥氣閣</p>
</p><p>&emsp;&emsp;站在隊伍之中，蕭炎擡頭望着面前這幢龐大的閣樓，忍不住驚歎的搖了搖頭。</p>
</p><p>&emsp;&emsp;巨大閣樓的牌匾之上，繪有“鬥氣閣”三個頗顯古氣的字體，牌匾略微有些顯黃，匾上的溝壑，顯示着歲月的滄桑。</p>
</p><p>&emsp;&emsp;這所樓閣，便是蕭家最重要的所在:鬥氣閣！</p>
</p><p>&emsp;&emsp;家族幾百年來所收集的鬥氣功法，全部存放在此處，而這些功法，便是蕭家如今地位的保障。</p>
</p><p>&emsp;&emsp;作爲家族中最重要的地方，此處的防守極爲森嚴，平日裡基本上是被列爲禁地，就是連自家族人，也禁止私自入內，只有在成人儀式舉行之後，這裡纔會被暫時開放。</p>
</p><p>&emsp;&emsp;微眯着眼睛，目光在閣樓四處的一些黑暗角落中掃過，敏銳的靈魂感知力讓得蕭炎知道，他們這裡所有人的舉動，都被隱藏在暗處的護衛盡收眼中。</p>
</p><p>&emsp;&emsp;在樓閣的偏僻之所，蕭炎還能察覺到幾道隱晦而強大的氣息，看來，家族對這鬥氣閣，真的是極爲重視。</p>
</p><p>&emsp;&emsp;微偏過頭，與薰兒對視了一眼，都是從對方眼中看出一抹笑意，顯然，兩人都是清楚的發覺了周圍隱藏的防衛。</p>
</p><p>&emsp;&emsp;……</p>
</p><p>&emsp;&emsp;“進入鬥氣閣的規矩，我已經說了很多遍，現在也不細細重複了，總之，進入鬥氣閣後，兩個小時之內，所有人必須出來！還有，每人只能拿一種符合自身屬性的鬥氣功法，不可多取，若有人想要私藏功法，那將會被取消獲得鬥氣功法的資格，所以，你們可得注意了！”站在高高的臺階上，蕭戰目光威嚴的掃視着下面的大羣少年少女，滿臉嚴肅的道。</p>
</p><p>&emsp;&emsp;“是！”衆多少年興奮的大聲應喝，目光熾熱的望着那巨大的樓閣，能夠得到一種較好的鬥氣功法，就能讓自己在起步上領先別人，這一直是所有族人心中最期盼的事。</p>
</p><p>&emsp;&emsp;“既然都知曉規矩，那便開始吧。”</p>
</p><p>&emsp;&emsp;蕭戰滿意的點了點頭，退後了一步，讓出那立在樓閣大門前的石柱，石柱約有一米左右，在石柱的頂端，安置着一個透明的水晶球。</p>
</p><p>&emsp;&emsp;揮了揮手，身後兩位護衛在一陣沉悶的嘎吱聲中，緩緩的推開了黑色的巨門。</p>
</p><p>&emsp;&emsp;“測驗過自身屬性之後，便可進入其中，記住，進入後，按照自身的屬性行走通道，別走錯了！”蕭戰對着下面的人羣點了點頭，示意可以開始了。</p>
</p><p>&emsp;&emsp;瞧着蕭戰點頭，領頭的一名少年滿臉興奮的跳了上去，雙手在水晶球上摸了摸，一陣淡青光釋放而出。</p>
</p><p>&emsp;&emsp;“風屬性，嗯，進去吧。”瞟了一眼水晶球，蕭戰點了點頭，笑道。</p>
</p><p>&emsp;&emsp;有人帶頭後，臺下的衆人頓時閒不住了，一個個的急忙衝上去，在測驗出自身屬性後，爭先恐後的涌進鬥氣閣。</p>
</p><p>&emsp;&emsp;望着周圍越來越少的人羣，蕭炎摸了摸鼻子，對着薰兒笑道：“走吧，看看能淘到什麼功法。”</p>
</p><p>&emsp;&emsp;薰兒可愛的攤了攤手，家族的功法對她並沒什麼吸引力，不過蕭炎有這興趣，她也樂意陪他。</p>
</p><p>&emsp;&emsp;由於兩人心中都不是特別急切，所以待得所有人都是進去之後，這纔在蕭戰那無奈的目光中，施施然的走上來。</p>
</p><p>&emsp;&emsp;蕭炎衝着蕭戰咧嘴笑了笑，手掌在水晶球上摸了摸，熾熱的紅光比先前所有人還要亮上幾分，火屬性。</p>
</p><p>&emsp;&emsp;蕭戰早就清楚自己兒子的屬性，所以並未表現出其他的神情，微微點頭後，目光忽然快速的在周圍掃了掃，然後悄悄的走前了一步，咳了一聲，作勢微微彎腰，低低的聲音傳出：“火道第三條路第四十三號房間！”</p>
</p><p>&emsp;&emsp;聽着蕭戰的低聲，蕭炎一怔，旋即有些好笑，原來父親這是在爲自己以權謀私啊。</p>
</p><p>&emsp;&emsp;不着痕跡的點了點頭，蕭炎立在一旁，望着薰兒的測試。</p>
</p><p>&emsp;&emsp;薰兒望着那光滑的水晶球，略微遲疑了一下，旋即有些無奈的搖了搖頭，纖指輕輕的點在其上。</p>
</p><p>&emsp;&emsp;隨着薰兒纖指的點上，水晶球在略微沉寂之後，猛的變得火紅了起來，瞬間之後，竟然猶如一個火球一般熾熱與耀眼。</p>
</p><p>&emsp;&emsp;有些震撼的望着那化成火球的水晶球，蕭炎微張着嘴巴，心中輕吸了一口涼氣。</p>
</p><p>&emsp;&emsp;火球持續了片刻，待得薰兒抽回手指後，方纔緩緩湮滅，而此時，一道道細小的裂縫，已經密佈了水晶球全身。</p>
</p><p>&emsp;&emsp;苦笑的望着即將破碎的水晶球，蕭戰無奈的嘆了一口氣，眼神帶着些許莫名意味的望着薰兒，揮了揮手，道：“快進去吧。”</p>
</p><p>&emsp;&emsp;“嘖嘖，好精純的火之體，不過可惜，體內沒有木屬性，不然，真是一個天生的煉藥師。”在蕭炎震驚之時，心中忽然的響起藥老的驚歎之聲。</p>
</p><p>&emsp;&emsp;心中悶悶的點了點頭，蕭炎望着走過來的薰兒，無奈的聳了聳肩，轉身對着鬥氣閣內行去。</p>
</p><p>&emsp;&emsp;望着並肩進入鬥氣閣的兩人，再低頭看了一眼終於咔的一聲破成幾半的水晶球，蕭戰摸了摸下巴，喃喃道：“唉，真是太…強悍了，薰兒這妮子，不僅脾氣好，人也漂亮，背景更恐怖，比那納蘭嫣然不知好了多少，如果炎兒能有這樣的媳婦，那該多好啊…”</p>
</p><p>&emsp;&emsp;說完之後，蕭戰又是自嘲的搖了搖頭，爲自己的異想天開感到無奈。</p>
</p><p>&emsp;&emsp;在自嘲時，蕭戰自然是沒發現，在他這話說出之後，那即將跨入鬥氣閣的薰兒，嬌軀卻是驟然一僵，嬌嫩的耳尖，忽然猶如先前的水晶球一般，火紅撩人。</p>
</p><p>&emsp;&emsp;(本章完)</p>
