<title>《鬥破蒼穹》▷ 第565章 第二輪</title><br><p>&emsp;&emsp;第565章 第二輪</p>
<br><p>&emsp;&emsp;第五百三十七章 第二輪</p>
<br><p>&emsp;&emsp;柳擎的這一場比賽，無疑是今日所有比賽之中屈指可數的幾次精彩戰鬥，不過以他的實力，有這等水平的戰鬥表現，也並未讓人感到太過驚異。</p>
<br><p>&emsp;&emsp;在柳擎之後，陸陸續續的有着不少強者出場，其中最令人矚目的，無疑便是林修崖的出場，但他的比試，卻是有些令人哭笑不得，因爲他的對手並未出面，在面對着這位強榜第二的強者壓力之下，直接是選擇了認輸退場，所以，他自然便是成爲了晉級最輕鬆的一人，而這也使得想要預先探探林修崖手段的柳擎蕭炎等人略有些失望。</p>
<br><p>&emsp;&emsp;第一日的二十五場比試，足足從早晨持續了晚上時分，方纔在無數人意猶未盡的目光中宣告結束，雖說有着一些參賽者發揮並非很好，可不管如何說，這“強榜”大賽也是內院最高規格的比賽，那強強交手的精彩戰鬥，足以令得其他人爲之驚歎。</p>
<br><p>&emsp;&emsp;再者，衆人也清楚，真正精彩的戰鬥，並非是這第一日的淘汰賽，而是第二日乃至第三日的戰鬥！經過今日的這輪淘汰，能夠遺留而下的人，只有二十五人，能夠走到這一步，不管是否有着僥倖的成分，至少說明他們之中沒有一個庸手，這種級別的戰鬥，其精彩火暴程度，自然是遠非第一日的淘汰賽可比！</p>
<br><p>&emsp;&emsp;所以，所有的觀看者，都是抱着意猶未盡以及期待，等着第二日更加精彩的交鋒！</p>
<br><p>&emsp;&emsp;隨着夜色的來臨，經歷了一日喧譁與火爆的內院，也終於是回覆了寂靜，星星點點的燈火點綴在龐大的院中，在這崇山峻嶺中顯得分外顯眼。</p>
<br><p>&emsp;&emsp;安靜的房間之中，淡淡月光從窗戶傾灑而進，射將在牀榻之上盤腿而坐的蕭炎臉龐上，此時後者正緊閉着眼眸，呼吸悠長而平緩，周圍天地間一縷縷細小能量源源不斷的順着其呼吸鑽進體內，最後經過提煉，爲那晉級的大業，增添細微的一磚一瓦。</p>
<br><p>&emsp;&emsp;修煉持續了將近兩個小時左右，蕭炎眼睛微微動了動，旋即緩緩睜開，一口憋在胸口許久的濁氣被吐了出來。</p>
<br><p>&emsp;&emsp;隨着這口濁氣的吐出，蕭炎臉色頓時浮現一層淡淡的光澤，那因爲白日激烈戰鬥而產生的蒼白，也是在此刻完全的消散而去。</p>
