<title>《帝霸》▷ 6135.第6125章 入局斬三仙</title></p><p>&emsp;&emsp;第6125章 入局斬三仙</p>
</p><p>&emsp;&emsp;“那以公子的意思，在這大鬼市之中的大鬼，不一定是做過交易的本身了，或許是一個替身罷了。”六式大帝想到這個可能，不由怔了怔。</p>
</p><p>&emsp;&emsp;李七夜淡淡地說道：“這種事情，可不是大帝所能做的，而且，這並非是發生在現在，只怕是在以前的蛻魂魔地。只怕在很久很久以前，就看出端倪了，所以，有人鑽了這樣的一個漏洞。”</p>
</p><p>&emsp;&emsp;“公子的意思是說，當年的驕橫與洗白灰嗎？”六式大帝一下子反應過來，不由說道：“當年洗白灰，不也是從惡魔之中逃出來嗎？這隻怕是用了其他的手段吧，否則，又怎麼能贖身出來呢？”</p>
</p><p>&emsp;&emsp;“就算是，那隻怕也是付出了很大很大的代價。”李七夜淡淡地說道。</p>
</p><p>&emsp;&emsp;“這樣的方法，是洗白灰髮現的呢，還是驕橫發現的呢？”兵池廟主也不由奇怪，說道：“若真的是如此，這也能解釋，爲什麼當年驕橫把洗白灰賣給惡魔之後，還能逃出來了。”</p>
</p><p>&emsp;&emsp;“有沒有想過。”李七夜悠然地說道：“在驕橫和洗白灰之前，就已經有人做到了，而驕橫和洗白灰髮現了這個秘密，所以，他們也想來嘗試一下，把當年的手段再重演一遍。但，付出代價的是洗白灰，驕橫得到了好處，先跑了。”</p>
</p><p>&emsp;&emsp;“所以，洗白灰出來之後，纔會到處追殺驕橫。”六式大帝不由喃喃地說道。</p>
</p><p>&emsp;&emsp;現在這樣一想，似乎一切都是豁然開朗了，這也能解釋，爲什麼洗白灰這樣的始祖，會被驕橫賣給惡魔。</p>
</p><p>&emsp;&emsp;按道理來說，洗白灰這樣的始祖，不可能傻到被人賣掉，現在看來，當年驕橫與洗白灰之間，最大的他們兩個人合夥，後來，驕橫先把洗白灰賣了，拿了好處跑了，而洗白灰出來之後，那是非要殺驕橫不可了。</p>
</p><p>&emsp;&emsp;“他們兩個人，只怕是惡作劇罷了，最多也就是驕橫想圖點人家的東西。”李七夜淡淡地說道。</p>
</p><p>&emsp;&emsp;說到這裡目光一凝，徐徐地說道：“但，最先發現這個規則的人，那一定是有大圖謀，而且，是處心積慮。”</p>
</p><p>&emsp;&emsp;“這樣的一個人，已經是瞭解了大鬼市的規則了，會不會是把高陽他們這些遠古始祖引進來的第一股爆發的力量呢？”六式大帝不由大膽地猜測。</p>
</p><p>&emsp;&emsp;“只怕是有這個可能。”兵池廟主徐徐地說道：“從他們進入大鬼市的情況來看，他們之中，一定有人對大鬼市十分了解，不然，不可能如此精準打開大鬼市，而且，精準去抵達天墮之地。”</p>
</p><p>&emsp;&emsp;“或者，這個人，一開始就藉着對大鬼市的熟悉與掌握，便挖下這個陷阱，把高陽、洗白灰他們這些遠古始祖引進來，最後想一舉把他們全部殲滅了。”六式大帝去剖析當年所發生的事情。</p>
</p><p>&emsp;&emsp;“那第二個人是怎麼樣解釋？”李七夜淡淡地說道：“第二個人，他的強大，可能會超越第一個人，而且，這個人才是潛得最深的那個人。”</p>
</p><p>&emsp;&emsp;“對，那麼，第二個人圖的是什麼？僅僅是想借死而遁嗎？”六式大帝不由沉吟地說道。</p>
</p><p>&emsp;&emsp;“一個人，借死而遁，要麼是遇到了極爲強大的仇家。”李七夜淡淡地說道：“還有一個可能。”</p>
</p><p>&emsp;&emsp;“什麼可能？”六式大帝問道。</p>
</p><p>&emsp;&emsp;“做了很大很大的傷天害理之事。”李七夜看了六式大帝一眼。</p>
</p><p>&emsp;&emsp;“很大很大的傷天害理之事？”李七夜這樣的話，讓六式大帝與兵池廟主都不由相視了一眼，他們都有些難於想象出有什麼很大很大的傷天害理之事了。</p>
</p><p>&emsp;&emsp;“還能怎麼樣傷天害理。”兵池廟主都不由嘀咕了一聲，說道：“滅國屠門，這等事情，哪一個大帝未曾做過？”</p>
</p><p>&emsp;&emsp;兵池廟主這樣的話說出來，讓六式大帝有些無語，但，也不由沉默了。</p>
</p><p>&emsp;&emsp;事實上的確是如此，滅國屠門，對於凡人而言，那是傷天害理之事，打崩一方天地，也是一種傷天害理的事情。</p>
</p><p>&emsp;&emsp;但是，這樣的事情，哪一位大帝沒有做過？哪怕這樣傷天害理的事情，那又怎麼樣呢？大家都做過，不至於你滅了一國，便借假死躲起來，就算是你殺了其他的一二位大帝，也不需要這樣。</p>
</p><p>&emsp;&emsp;“對呀，就算是斬殺其他的大帝也不至於吧。”六式大帝想不出有什麼問題需要他們去假死躲起來，更何況，一個強大無匹的存在，比大帝還要強大。</p>
</p><p>&emsp;&emsp;“不要忘了火祖。”李七夜輕描淡寫地說道。</p>
</p><p>&emsp;&emsp;“火祖的傳說——”關於這個，六式大帝不清楚，但是，兵池廟主卻聽過這個傳說，他不由爲之心神劇震，說道：“難道，又，又是第二個火祖？”</p>
</p><p>&emsp;&emsp;“只怕，火祖與之相比，都要失色。”李七夜淡淡地說道。</p>
</p><p>&emsp;&emsp;“那是做了什麼呢？”兵池廟主知道火祖的傳說，連火祖這樣的事情都失色，那是做了什麼。</p>
</p><p>&emsp;&emsp;“比如說，入局斬仙，又比如說，或者入局背襲誅天。”李七夜悠然地說道，神態悠悠，在這個時候，目光看得遙遠。</p>
</p><p>&emsp;&emsp;“入局斬三仙——”李七夜這樣的話，六式大帝就不由打了一個激靈，不由大叫地說道：“這，這是能參加斬三仙之戰？”</p>
</p><p>&emsp;&emsp;說到這裡，六式大帝在心裡面不由爲之震撼，喃喃地說道：“當年傳聞說，斬三仙，乃是魔世與其他兩大恐怖的存在。”</p>
</p><p>&emsp;&emsp;李七夜淡淡地說道：“誰親眼看到了？”</p>
</p><p>&emsp;&emsp;李七夜這樣的話，頓時讓六式大帝不由爲之一怔，對呀，當年的斬三仙誰親眼看到了？雖然說，當年斬仙之戰，乃是持久了很漫長的時間，上萬年之久，但是，傳說中的三仙與魔世、黑暗鬼帝、變魔之間的大戰，乃是壓軸大戰，那一戰，把三仙界都打崩。</p>
</p><p>&emsp;&emsp;“斬三仙，此戰，沒那麼簡單，背後有人設局。”李七夜淡淡地說道：“魔世，那隻當過是導火索罷了，背後只怕已經有人在等待着了，所有人都來不及的時候，被殺得措手不及。”</p>
</p><p>&emsp;&emsp;“有人背後偷襲嗎？”六式大帝不由喃喃地說道。</p>
</p><p>&emsp;&emsp;“有人背後偷襲，這並不奇怪。”李七夜輕輕搖頭，說道：“我只是好奇，是怎麼樣隱藏這麼久的，這耐心，的確是了不起呀。很好奇，他是開創了怎麼樣的大道，可以把自己這樣隱藏起來。這種隱藏，只怕是自己最親近的人都不知道的。”</p>
</p><p>&emsp;&emsp;“三仙界背後，一直都有人在窺視着。”兵池廟主不由喃喃地說道：“祖，會不會是天外來客？”</p>
</p><p>&emsp;&emsp;李七夜不由露出了濃濃的笑意，輕輕搖了搖頭，說道：“若是天外來客做這樣的事情，那就粗糙了。如此細膩，那必須是本地土著。”</p>
</p><p>&emsp;&emsp;說到這裡，李七夜淡淡地說道：“只有本地的土著才知道自己該怎麼樣去一步一步除去自己忌憚的人。”</p>
</p><p>&emsp;&emsp;“除三仙。”六式大帝不由抽了一口冷氣，喃喃地說道：“好大的抱負。”</p>
</p><p>&emsp;&emsp;有人一直躲在暗中，想除三仙，這樣的事情，未免太不可思議了吧。</p>
</p><p>&emsp;&emsp;”三仙，只怕是其中之一。”李七夜淡淡地說道：“若不是有所侷限，只怕在那個時候，有可能把其他人都除了。”</p>
</p><p>&emsp;&emsp;“那究竟是怎麼樣的存在呢？”六式大帝不由喃喃地問道，她想破腦袋，都想不出有這樣的一號人物。</p>
</p><p>&emsp;&emsp;“或者，他是三仙身邊的人。”對於三仙時代的事情，兵池廟主更熟悉，所以，在這個時候，他不由有了一個大膽無比的猜測。</p>
</p><p>&emsp;&emsp;“三仙身邊的人？”聽到這樣的猜測，說道：“這可能嗎？三仙不會發現嗎？”</p>
</p><p>&emsp;&emsp;“火祖，不也是如此。”兵池廟主不由徐徐地說道，說着望着李七夜。</p>
</p><p>&emsp;&emsp;火祖的傳說，早就已經湮滅於時間長河之中了，後世之人，沒有多少人知道火祖，更不知道火祖背叛的事情，他們沒有人清楚火祖墜入黑暗之中具體過程。</p>
</p><p>&emsp;&emsp;www¸ тt kдn¸ ￠ ○</p>
</p><p>&emsp;&emsp;李七夜淡淡地笑了一下，並未多說什麼。</p>
</p><p>&emsp;&emsp;“不管怎麼樣隱藏那至少可以肯定的是，大荒元祖他們一定發現不對勁的地方了。”六式大帝不由說道：“大荒元祖追尋到這裡來，一定也想找出這個人。”</p>
</p><p>&emsp;&emsp;“可惜，她發現已經遲了，也打草驚蛇了，對方纔會借死遁走。”李七夜淡淡地說道。</p>
</p><p>&emsp;&emsp;“沒有具體的懷疑對象了。”兵池廟主也點頭，說道：“大家都死了。”</p>
