<title>《帝霸》▷ 5912.第5902章 可惜，你犯了我</title></p><p>&emsp;&emsp;第5902章 可惜，你犯了我</p>
</p><p>&emsp;&emsp;(今天四更！！！！！！)</p>
</p><p>&emsp;&emsp;對於無上暗獵這樣的要求，躲在開石盾之後的開石祖師輕輕地搖了搖頭，徐徐地說道：“血食之事，我不感興趣，此事免了。”</p>
</p><p>&emsp;&emsp;“那我獨享三泰。”無上暗獵說道：“我吃完，轉身就走，不打擾你們這個世界。”</p>
</p><p>&emsp;&emsp;無上暗獵這樣的提議，讓任何人都不由爲之心神一震，就算開石祖師都不由神態一凝，而世帝、玄帝他們都不由相視了一眼。</p>
</p><p>&emsp;&emsp;面對這樣的局面，不論是開石祖師，又或者是世帝、玄帝他們都不一定有着更好的選擇。</p>
</p><p>&emsp;&emsp;無上暗獵既然說出這樣的話，那必定是言出必行，他一定能做到吃了三元泰祖，轉身就走。</p>
</p><p>&emsp;&emsp;這樣的一場不算交易的交易，似乎是對比方都是皆大歡喜之事，畢竟，三元泰祖對於任何人而言，似乎都沒有存在的必要。</p>
</p><p>&emsp;&emsp;這已經是不三元泰祖的時代，也不是三元泰祖的紀元，在當下的時代，人世間甚至已經沒有人認得三元泰祖，更不會有人去護三元泰祖。</p>
</p><p>&emsp;&emsp;所以，在這個時候，三元泰祖被無上暗獵吃掉的話，只怕對於這個人世間而言，是沒有任何影響的，絕對不會有誰會拼着命去救三元泰祖。</p>
</p><p>&emsp;&emsp;甚至對於不少的諸帝衆神而言，三元泰祖的存在，反而是一種隱患，甚至有可能會給這個世界帶來毀滅之災。</p>
</p><p>&emsp;&emsp;畢竟，三元泰祖他既是可以成爲這個世界的主宰，也可以成爲吞食這個世界的天庭異客，誰會知道，最終將會是讓三元泰祖主宰自己的身軀，還是由天庭異客主宰自己的身軀。</p>
</p><p>&emsp;&emsp;這些事情，都是諸帝衆神所無法左右的事情，若是以除後患的話，讓無上暗獵吃掉三元泰祖，似乎也算是不錯的選擇。</p>
</p><p>&emsp;&emsp;但是，在道義之上，又不是應該如此，畢竟，三元泰祖還沒有完全變成天庭異客，若是他能保持着三元泰祖的狀態，那麼，或許對於這個世界乃是大有裨益，當然，沒有人知道三元泰祖是否能保持住自己的狀態。</p>
</p><p>&emsp;&emsp;“蠢貨。”在這個時候，三元泰祖斥喝了一聲，對開石祖師說道：“他狀態已不如前，捱餓了太久了，已不復巔峰，只要你拖延時間，你就勝券在握。”</p>
</p><p>&emsp;&emsp;“泰祖，若有這麼容易，你就不會淪於這樣下場了。”無上暗獵幽幽地說道，這話聽起來不是嘲笑三元泰誼。</p>
</p><p>&emsp;&emsp;“你敢放開我，就算半個狀態，我也三招斬你。”此時，竟然是三元泰祖主宰了這個身軀。</p>
</p><p>&emsp;&emsp;在剛纔時候，無上暗獵的突然襲殺，重創了開庭異客，畢竟，無上暗獵的狙殺乃是黑暗的力量，更容易重創同爲墮入黑暗的天庭異客。</p>
</p><p>&emsp;&emsp;“泰祖的激將之法，幼稚。”無上暗獵也不上當，幽幽地說道：“你已不再是巔峰的你，你已經是支離破碎，莫說是三招，三百招你也斬不了我。”</p>
</p><p>&emsp;&emsp;“那你試試。”三元泰祖厲喝一聲。</p>
</p><p>&emsp;&emsp;但是，無上暗獵就是不上三元泰祖的當，根本就不吃他這一套，幽幽地說道：“我何需要試，泰祖已經是我砧板上的魚肉，已經是我口中美味。”</p>
</p><p>&emsp;&emsp;無上暗獵這樣的話，氣得臉三元泰祖臉色漲紅，他對開石祖師沉喝道：“你盾可守，也一樣可攻，更是可圍。你開石盾守天，圍住他，他必定想逃走，你就能掌主動之勢。”</p>
</p><p>&emsp;&emsp;“泰祖，時代變了。”在這個時候，無上暗獵幽幽地說道：“這已經不是你主宰紀元的時代了，開石不需要聽你的，你還以爲是那個三泰紀元的時代嗎？依然還能對開石吆來喝去嗎？”</p>
</p><p>&emsp;&emsp;無上暗獵這樣的話，那的的確確是挑拔離間，這讓開石祖師輕輕地哼了一聲，躲在開石盾之後，沒有再說話。</p>
</p><p>&emsp;&emsp;雖然無上暗獵這話是挑撥離間，但說的也是事實。</p>
</p><p>&emsp;&emsp;在三泰紀元的時代，特別是當年三元泰祖巔峰之時，他是睥睨整個紀元，主宰乾坤，整個紀元的億萬生靈，有誰能入三元泰祖之眼？</p>
</p><p>&emsp;&emsp;在那個時代，開石祖師、道祖、萬界帝祖他們都已經是驚才絕豔了，已經是人世間最強大的存在了。</p>
</p><p>&emsp;&emsp;但是，三元泰祖根本就不把他們當作一回事，也不把他們放在眼中，僅是當作小輩呼來喝去。</p>
</p><p>&emsp;&emsp;當然，三元泰祖也的確是萬古無雙，哪怕他把開石祖師、道祖、萬界帝祖他們當作小輩呼來喝去，但是，他隨手點拔，也都讓開石祖師、道祖、萬界帝祖他們受益匪淺。</p>
</p><p>&emsp;&emsp;只可惜，三元泰祖沒有足夠的耐心，並未潛心深耕，以蓄最強大的力量，未養最璀璨的大世，自己獨自踏上了徵天之路。</p>
</p><p>&emsp;&emsp;今日，已經時代不同了，開石祖師已經不再需要三元泰祖的點拔，而且，三元泰祖也不再是當年的三元泰祖了。</p>
</p><p>&emsp;&emsp;在天境一戰，三元泰祖已經慘敗，而且反身分裂，三元泰祖不再是巔峰的他。</p>
</p><p>&emsp;&emsp;更何況，此時三元泰祖被無上暗獵釘鎖在那裡，已經是砧板上的魚肉了，根本就沒有資格對開石祖師吆來喝去。</p>
</p><p>&emsp;&emsp;“開石，你我井水不犯河水。”在這個時候，無上暗獵也不想再拖延了，徐徐地說道：“你讓我進食，以後我也永不犯你。”</p>
</p><p>&emsp;&emsp;無上暗獵，沒有想過要與開石祖師生死相搏，他僅僅是想吃掉三元泰祖，然後轉身而去，對於這個世界，對於這個紀元，他一點興趣都沒有，哪怕這個世界擺在他的面前，他也不會像無上元祖他們那樣想大快朵頤一樣大吃一頓。</p>
</p><p>&emsp;&emsp;對於吃，無上暗獵是有着十分挑剔的態度的，眼前的三元泰祖值得他去吃之外，其他的人，都不值得他去進食。</p>
</p><p>&emsp;&emsp;開石祖師不由沉默，盯着無上暗獵，事實上，面對無上暗獵，他也是沒有把握，他能守得住自己，但，攻不下無上暗獵。</p>
</p><p>&emsp;&emsp;面對於任何一位巨頭，開石祖師若是躲在自己的開天盾之後，他自信自己隨時都可以保命，但是，若是要讓他去與無上暗獵拼命，他殺不死無上暗獵。</p>
</p><p>&emsp;&emsp;在這個時候，他是保全自身，還是阻止無上暗獵呢？</p>
</p><p>&emsp;&emsp;在這個時候，玄帝、世帝他們也都不由屏住呼吸，面對無上暗獵，他們無能爲力，就算他們站在開石祖師這個角度，他們也將會一樣面臨着困難的選擇。</p>
</p><p>&emsp;&emsp;如果說僅僅是天庭異客，那是不需要去想，就算天庭異客被無上暗獵吃掉，那麼，這也只能說是相互殘殺。</p>
</p><p>&emsp;&emsp;如果說是三元泰祖被無上暗獵吃掉，這說起來，也不是什麼好事情。</p>
</p><p>&emsp;&emsp;在這個時候，無上暗獵也是謹慎地看着開石祖師，他並不怕開石祖師，但是，如果說，開石祖師一直龜縮在自己的開石盾後面，他也一樣拿開石祖師無可奈何。</p>
</p><p>&emsp;&emsp;問題是在於，他必須進食，必須吃掉三元泰祖，如果他在進食的時候，開石祖師來偷襲他，那對於他而言，就是大大的不利了。</p>
</p><p>&emsp;&emsp;在這個時候，開石祖師沉默，而無上暗獵也開始着急，他不能拖延太久，他不喜歡把自己暴露出來，時間越久，對於他而言，就越不安全。</p>
</p><p>&emsp;&emsp;“可惜，你犯了我。”就在開石祖師沉默的時候，一個悠然的聲音響起。</p>
</p><p>&emsp;&emsp;шшш▪ Tтkan▪ C○</p>
</p><p>&emsp;&emsp;這個悠然的聲音響起的時候，一剎那之間，在所有人的耳邊爆開了，不論是無上暗獵，還是開石祖師，又或者是世帝、玄帝他們，都一下子被震撼住了。</p>
</p><p>&emsp;&emsp;一聽到這個悠然的聲音，他們都不敢相信自己的耳朵了，哪怕是再鎮定的無上暗獵、開石祖師，甚至是三元泰祖，他們都不敢相信這是真的。</p>
</p><p>&emsp;&emsp;因爲這個聲音是最不可能在這個世界出現的，但是，偏偏在此時此刻，出現了。</p>
</p><p>&emsp;&emsp;“陰鴉——”一聽到這個聲音的時候，無上暗獵也都不由爲之駭然，剎那之間後退了好幾步。</p>
</p><p>&emsp;&emsp;“陰鴉——”不論是開石祖師、三元泰祖，他們都不由爲之震撼，一雙眼睛睜得大大的，不可思議地看着眼前。</p>
</p><p>&emsp;&emsp;在此時此刻，一個普普通通的青年站在那裡，身上沒有任何氣息，他站在那裡的時候，讓任何存在一看，都覺得他是一個普通人罷了，沒有什麼特別之處，甚至如同無上巨頭的存在，都難以從他身上窺見氣息。</p>
</p><p>&emsp;&emsp;“聖師——”在這個時候，世帝、玄帝、劍帝他們也都一雙眼睛睜得大大的，看着眼前這個青年，他們也震撼住了，看着眼前這個青年的時候，他們都呆如木雞。</p>
</p><p>&emsp;&emsp;最不可能出現的人，卻偏偏出現在這裡了。</p>
</p><p>&emsp;&emsp;陰鴉，聖師，李七夜，不論叫什麼都好，在這個時候，所有人想不到，也有人最不想他出現的人，他卻出現了。</p>
</p><p>&emsp;&emsp;當年，所有人親眼看着李七夜離去，諸帝衆神都親自送李七夜離去。</p>
</p><p>&emsp;&emsp;而且，所有人都可以確定，李七夜的的確確是離開了這個世界，踏上了遠征之途，進入了天境。</p>
</p><p>&emsp;&emsp;在任何人看來，李七夜早就不存在這人世間幾十萬年了，他早就已經消失在了人世間了，他進入天境之後，只怕再也不可能回來了。</p>
</p><p>&emsp;&emsp;然而，今日李七夜竟然站在了所有人面前，而且，這的的確確是李七夜。</p>
</p><p>&emsp;&emsp;(本章完)</p>
