<title>《帝霸》▷ 5908.第5898章 這是誰？</title></p><p>&emsp;&emsp;第5898章 這是誰？</p>
</p><p>&emsp;&emsp;(今天四更！！！！！！)</p>
</p><p>&emsp;&emsp;大世昌盛，璀璨時代已經來臨，整個七夜紀元耀眼奪目，將會迎來整個紀元的巔峰。</p>
</p><p>&emsp;&emsp;歲月匆匆，時光流逝，眨眼之間，便是幾十萬年過去，而在這幾十萬年之中，乃是整個八荒六天洲最爲昌盛、最爲和平的歲月。</p>
</p><p>&emsp;&emsp;雖然在過去，不論是三泰紀元還是後世的七夜紀元，都未曾停止過大規模的戰爭。</p>
</p><p>&emsp;&emsp;從三泰紀元開始，從無上巨頭的血煉開始，這個天地一直都未曾安寧過，後來更是有各種戰爭、災難降臨，雖然在這樣的時代之中，一位又一位的大帝仙王崛起，但是，也不知道有多少大帝仙王在這一場又一場的戰役、災難之中隕落。</p>
</p><p>&emsp;&emsp;特別是在後來的六天洲時代，自從分了先民與古族之後，六天洲的戰役就未曾停止過，在先民與古族的戰爭之中，被捲入的不僅僅是修士強者，還有着無數的芸芸衆生。</p>
</p><p>&emsp;&emsp;在這毀天滅地的戰役之中，不知道有多少芸芸衆生被殃及池魚而慘死，也有着一尊又一尊的大帝仙王在這一場又一場的血戰之中隕落戰死。</p>
</p><p>&emsp;&emsp;時至今日，整個七夜紀元太平，雖然修士強者之間、大帝仙王之間，依然有着一些磨擦，但是，自從沒有了先民、古族之分後，萬族歸一，天下大同，使得大帝仙王之間所爆發的戰爭已經是降到了最低了。</p>
</p><p>&emsp;&emsp;而且，在這昌盛大世的時代，在這璀璨的時代，無窮無盡的天地精華滋養着整個紀元、蘊養着整個八荒六天洲，使得不論是芸芸衆生還是修士強者，所需的一切都是十分豐饒，如此一來，更是降低了八荒六天洲的戰爭了。</p>
</p><p>&emsp;&emsp;在這昌盛大世、璀璨時代，一位又一位的強者是高歌猛進，一位又一位的天才，驚才絕豔，證得大帝，見得混元。</p>
</p><p>&emsp;&emsp;在這樣的昌盛大世、璀璨時代，整個七夜紀元都是那麼的熱鬧，也是那麼的精采，對於多少人來說，只恨自己不是生在這樣的時代。</p>
</p><p>&emsp;&emsp;若是自己能生在這樣的時代，就算不是獨步天下，萬古無雙，那麼，在這樣昌盛大世、璀璨的時代，混個溫飽，安然一生，那也是沒有任何問題的。</p>
</p><p>&emsp;&emsp;而在這天下太平的時代，諸帝衆神都是紛紛閉關修煉，參悟大道，勘破大限。</p>
</p><p>&emsp;&emsp;若是在以前，諸帝衆神在通往巔峰之路的時候，有一天自己真正的站在巔峰之上的時候，這一條道路往往是嘎然而止。</p>
</p><p>&emsp;&emsp;因爲大帝仙王站在巔峰之上的時候，前面已經沒有道路了，就算前面真的有道路，那也是渺無蹤跡，無法尋找到這樣的大限之路。</p>
</p><p>&emsp;&emsp;但是，今日時代已經不一樣了，諸帝衆神不再困守在大帝巔峰之上，而是看到了更遙遠的未來，更清晰地看到未來的大道如何去走。</p>
</p><p>&emsp;&emsp;歸真見元，證混元真我，對於天下的所有大帝仙王而言，眼前的道路已經變得豁然開朗，前人已經給他們指明瞭道路，使得諸帝衆神也都紛紛有了前行的目標與動力。</p>
</p><p>&emsp;&emsp;所以，對於已經成爲大帝仙王的存在而方，都紛紛想見得真我。</p>
</p><p>&emsp;&emsp;當真正見得真我，修練大圓滿之後，又將會開始歸真見元的道路，踏上大限之路，未來證得混元真我。</p>
</p><p>&emsp;&emsp;如此一來，使得整個天地所有大帝仙王，都紛紛閉關修練，不甘落於人後，心無旁騖地參悟道，他們都想自己早一日踏上大限之路，突破大限，證得混元真我。</p>
</p><p>&emsp;&emsp;也正是因爲有着更多的大帝仙王也都紛紛關閉不出，更是使得天下太平了，人世間的修士強者，普羅大衆，他們在人世間，就算是有摩擦，就算他們有戰爭，那都只不過是小打小鬧而已，根本就爆發不了什麼曠世之戰。</p>
</p><p>&emsp;&emsp;只有大帝仙王、古神龍君這樣的存在參加戰爭，最終纔有可能爆發曠世之戰。</p>
</p><p>&emsp;&emsp;也正是因爲這個原因，使得天下更是太平，整個紀元都是蓬勃發展。</p>
</p><p>&emsp;&emsp;甲子只不過是一息罷了，幾十萬年也只不過是彈指而已，在這歲月之中，不知道有多少英傑出現，人世間，那璀璨的名字，也都是停留在世帝、玄帝、浩海仙帝這樣的存在身上。</p>
</p><p>&emsp;&emsp;至於陰鴉、聖師、李七夜，這樣的名字，那早就已經過去了，人世間，只有諸帝衆神才真正瞭解這個存在了。</p>
</p><p>&emsp;&emsp;在幾十萬年光景之中，很多的事情都已經變得遙遠了，人世間都忘卻了太多的傳說了。</p>
</p><p>&emsp;&emsp;然而，就在這一日，突然之間，一道血光沖天而起，這一道血光一沖天之時，璀璨無比，照亮了萬域。</p>
</p><p>&emsp;&emsp;這一道沖天而起的血光，無比的純粹，似乎萬世血統起源，都源自於這一道血光一般。</p>
</p><p>&emsp;&emsp;當這樣的一道血光沖天而起的瞬間，天地之間的億萬生靈都猶有感知一般，就在這瞬間，在人世間的大帝仙王、古神龍君，都一瞬間真血共鳴。</p>
</p><p>&emsp;&emsp;聽到“轟、轟、轟”的一陣陣轟鳴之聲不絕於耳，這樣的一道血光擴散而出，一剎那之間，這樣的血光衝擊向萬域，籠罩着整個仙之古洲。</p>
</p><p>&emsp;&emsp;“這是——”在這剎那之間，這樣的血光沖天之時，擴散向整個仙之古洲的時候，一瞬間驚動了整個仙之古洲，在整個仙之古洲的所有大帝仙王、龍君古神都被驚動了。</p>
</p><p>&emsp;&emsp;“這是誰？”在這個時候，立於天地中央，掌執無上權柄的世帝、玄帝，他們都被驚動了，瞬間望去。</p>
</p><p>&emsp;&emsp;而這一道沖天而起的血光，正是來自於帝野。</p>
</p><p>&emsp;&emsp;就在這剎那之間，帝野已經響起了“咚、咚、咚”的聲音了，整個帝野都是警鐘之聲迴盪不絕。</p>
</p><p>&emsp;&emsp;“不好——”帝野的諸帝衆神，都不由爲之一驚，哪怕是青妖帝君他們這樣的存在都是不由臉色大變。</p>
</p><p>&emsp;&emsp;“有異變。”在這一瞬間，青妖帝君也知道事態嚴重了，立即下令，以作最壞的打算。</p>
</p><p>&emsp;&emsp;“要支援帝野。”在這可怕的血光衝擊而來的時候，此時不論是任何一個地方的大帝仙王，都覺得大事不妙，都紛紛發出警告，諸帝衆神都紛紛啓程，並前往帝野，去支援帝野。</p>
</p><p>&emsp;&emsp;在這昌盛大世、璀璨時代，天下已經太平了幾十萬年之久了，今日突然異變，這對於諸帝衆神而言，這絕對不是什麼好事，所以，諸帝衆神都毫不保留，沒有任何人存有私心，都將全力以赴，去支援帝野。</p>
</p><p>&emsp;&emsp;“轟、轟、轟”的一陣陣轟鳴之聲響徹了九天十地，在這個時候，血光淹沒了整個仙之古洲，浸透了億萬生靈。</p>
</p><p>&emsp;&emsp;在這一刻，任何的生靈都感受到了浸透一切的血光，當所有生靈看到滿天血光的時候，自己都浸透在這血光之中的時候，竟然沒有感受到那種可怕，反而是一種共鳴。</p>
</p><p>&emsp;&emsp;畢竟，血光滿天之時，會讓天地間的生靈都會感覺害怕，但，在這一刻，這種血光出現的時候，哪怕是它能浸透你的全身，你都不會感覺到害怕。</p>
</p><p>&emsp;&emsp;相反的是，當這樣的血光浸透着你全身之時，你會感覺特別的舒服，不管你是修士強者，又或者是大帝仙王，更或者是芸芸衆生的凡人，浸泡在這樣的血光之中的時候，竟然讓自己感覺自己全身的血氣與這血光共鳴一樣。</p>
</p><p>&emsp;&emsp;在這一瞬，不知道有多少人感覺自己是回到了自己母親的懷抱一樣，是那麼的溫暖，是那麼的舒服，讓人感覺自己還沒有降生於人世間，依然是被蘊養着一樣。</p>
</p><p>&emsp;&emsp;這樣的感覺，無與倫比，在這個時候，不知道多少生靈都願意自己永遠被這樣的血光浸透着，這讓人感覺並不是什麼壞事。</p>
</p><p>&emsp;&emsp;“大事不好，要破牢而出。”雖然這樣的血光浸透着的時候，讓所有人都感覺得十分舒服，但是，對於站在覈心位置、站在這個世界巔峰之上的大帝仙王而言，一下子意識到了問題所在，一瞬間感到大事不妙了。</p>
</p><p>&emsp;&emsp;“轟——”的一聲巨響之下，在這剎那之間，在帝野所在之處，浮現了一個高大無比的身影。</p>
</p><p>&emsp;&emsp;當這個高大身影一浮現之時，青妖帝君、赤夜仙帝、牧天仙帝等等的諸帝衆神都立即援馳，大道轟鳴，萬法鎮壓而下，欲鎮壓住這突然出現的高大身影。</p>
</p><p>&emsp;&emsp;然而，就在這一瞬間，聽到“砰”的一聲巨響，至高無上的力量碾壓而下，隨之，轟鳴之聲不絕於耳，三道亙古無比、混元無上的神環冉冉升起。</p>
</p><p>&emsp;&emsp;緊接着，在一陣陣轟鳴之下，這三道神環撐起了整個世界，似乎連整個六天洲都在這一瞬間被扛了起來。</p>
</p><p>&emsp;&emsp;在這一剎那之間，整個仙之古洲的所有生靈都感覺自己好像騰空而起一樣，整個仙之古洲被扛起來一般。</p>
</p><p>&emsp;&emsp;三道神環撐起萬界，主宰亙古，讓所有人都不由爲之駭然。</p>
</p><p>&emsp;&emsp;聽到“砰”的巨響之時，一個高大的身影終於破封印而出，在巨響之下，一瞬間崩滅萬域法則，鎮壓億萬時光。</p>
</p><p>&emsp;&emsp;在這個人一出身的時候，不論是馳援的牧天仙帝、還是青妖帝君他們，都一瞬間被轟飛出去，鮮血狂噴。</p>
</p><p>&emsp;&emsp;在這瞬間，神環舒張的時候，聽到“砰”的一聲響起，神環鎮壓而下，無人能擋。</p>
</p><p>&emsp;&emsp;(本章完)</p>
