<title>《擇日飛昇》▷ 第八百九十三章：元愛節之戰</title></p><p>&emsp;&emsp;“放肆！”</p>
</p><p>&emsp;&emsp;田不勿這句話出口，口中卻傳來很多個自己的聲音，紛紛叫道：“放肆！”</p>
</p><p>&emsp;&emsp;他心中一驚，頓時察覺到那些聲音是自己發出的聲音！</p>
</p><p>&emsp;&emsp;他的無極大道已經臻至道主境的大圓滿，無限接近大道盡頭，與許應對拼一擊之後，無極大道卻發生了變化，竟然自他體內分解，化作太易、太初、太始、太素和太極。</p>
</p><p>&emsp;&emsp;剛纔的那五聲放肆，正是來自這先天五太大道的聲音！</p>
</p><p>&emsp;&emsp;先天五太，也是五種極爲高明厲害的先天大道，是無極的五種形態。不過無極大道演變爲五太狀態，卻絕非他所願。</p>
</p><p>&emsp;&emsp;“適才他那一擊，五指蘊藏五太道力，將我無極大道分化！”</p>
</p><p>&emsp;&emsp;田不勿心中悚然，“我不動用其他先天大道，他尋不到我的破綻，所以想讓我無極循證太一，以此來破我！”</p>
</p><p>&emsp;&emsp;一個道主境初期的存在，迫使一個道主境圓滿的存在強行循證，沒有破綻製造破綻，這種情形他從未遭遇過，也未曾聽聞過。</p>
</p><p>&emsp;&emsp;“混元不二法門是最爲純粹的修行法門，絕不可能被人左右，他的道行廣度超越我，深度卻絕對不如我，他無法逼迫我循證太一！”</p>
</p><p>&emsp;&emsp;他現在無極道界被破，立刻調運其他八種先天大道的道力鎮壓，平息無極道界破裂的趨勢。</p>
</p><p>&emsp;&emsp;然而在調運無極道界的一剎那，他便突然想到，許應破解了他田家的無極浩然四證篇時，說的便是倘若田家老祖帝崆動用無極之外的其他道法，也會被他所破！</p>
</p><p>&emsp;&emsp;他頭皮發麻，然而箭在弦上不得不發，繼續調運先天八道的道力。</p>
</p><p>&emsp;&emsp;許應已然殺到他的跟前，在他出招的同時，以指爲劍，以道爲劍氣，唰唰唰，劍光飛舞，翩然如飛鴻，矯騰如蛟龍。</p>
</p><p>&emsp;&emsp;兩人在皇極帝都的空中以快打快，田不勿只覺自己調運的八種道力紛紛被斬斷，心中又驚又怒，卻又見許應唰唰五劍，刺在自己的身上。</p>
</p><p>&emsp;&emsp;這五劍刺出，卻見他的體內突然有五個田不勿跳出，赫然是他的五太道身！</p>
</p><p>&emsp;&emsp;這五太道身各自出手，嘭嘭嘭連續五掌，印在他的身上。</p>
</p><p>&emsp;&emsp;田不勿大口噴血，倒跌飛出。</p>
</p><p>&emsp;&emsp;田不勿五太道身齊齊向他追殺而去，異口同聲道：“放肆！”</p>
</p><p>&emsp;&emsp;田不勿又驚又怒，奮力抵擋，卻被自己的五太道身殺得傷上加傷。</p>
</p><p>&emsp;&emsp;“許應果真厲害，的確破了我田家的無極大道！”他心中暗道。</p>
</p><p>&emsp;&emsp;許應邁步前來，神態悠然，提劍笑道：“田道兄，我送你去見大道。”</p>
</p><p>&emsp;&emsp;他正欲痛下殺手，結果了田不勿，忽然一人撕裂虛空，出現在他的身後，周身神光燦燦，難以辨明身份。</p>
</p><p>&emsp;&emsp;此人來勢洶洶，一出手便是輪迴旋轉，混沌海中的宇宙時空宛如變成了他的一個個道場，化作一個又一個明亮的輪迴環。</p>
</p><p>&emsp;&emsp;即便是皇極帝都所在的混元宇宙，也變成了輪迴的一部分，讓他的身軀顯得無比偉岸，彷彿屹立在無窮宇宙的彼岸，掌握着輪迴！</p>
</p><p>&emsp;&emsp;他隨時可以將許應輪迴，剝奪許應的法力，道行，神通，將其化作蟲豸，化作畜生，甚至化作無生命的山石！</p>
</p><p>&emsp;&emsp;然而就在許應墜入輪迴的同時，卻擡頭上望，目光奇異道：“輪迴永證不滅經？你是裕家的人。帝望的輪迴大道的確雄奇，但你畢竟不是帝望。”</p>
</p><p>&emsp;&emsp;他一邊說話，一邊分裂，一個又一個許應出現在一個個宇宙輪迴之中。</p>
</p><p>&emsp;&emsp;出手的那人屹立在混沌海無窮宇宙的彼岸，不計其數的宇宙便是他的輪迴道場，而現在所有的輪迴道場，彷彿中了瘟疫一般，一個個許應紛紛出現在這些道場中，向他走來，提劍便刺。</p>
</p><p>&emsp;&emsp;出手之人正是帝族裕家的族老裕川，見此情形，心中不禁駭然。</p>
</p><p>&emsp;&emsp;許應大有走出他的輪迴神通，劍光大有刺到他面前的趨勢！</p>
</p><p>&emsp;&emsp;不計其數的宇宙輪迴之中，傳來無數個許應的聲音：“裕家道兄，帝望的輪迴永證囊括其他八道，僞大道盡頭，你現在只調動了九分之一的法力，何不調動所有的大道？”</p>
</p><p>&emsp;&emsp;裕川面色一沉，他與田不勿一樣，只敢動用自家祖傳的功法中最擅長的大道，其他八種大道則不敢動用。</p>
</p><p>&emsp;&emsp;所以他能夠調動的道力，只有九分之一。</p>
</p><p>&emsp;&emsp;他企圖用九分之一的法力修爲，將許應這等道主中的另類徹底打入輪迴，如今嘗試起來，才驚覺不太可能！</p>
</p><p>&emsp;&emsp;一個個宇宙輪迴中，許應的數量越來越多，竟然有充斥所有輪迴的趨勢，帶給裕川的壓力也越來越大。</p>
</p><p>&emsp;&emsp;不僅這些宇宙的過去充滿了許應，甚至連這個宇宙的未來，也出現一個又一個的許應！</p>
</p><p>&emsp;&emsp;彷彿許應跌入他的輪迴，不是在輪迴中變成了蟲豸或者禽獸，而是這些宇宙中的所有人，都變成了許應！</p>
</p><p>&emsp;&emsp;這些輪迴道場中的所有被他掌握命運的生命，都化作了許應，都在提劍向他刺來！</p>
</p><p>&emsp;&emsp;“轟！”</p>
</p><p>&emsp;&emsp;終於，伴隨着驚天動地的大道悲鳴，裕川無數輪迴道場被壓垮，大口吐血。</p>
</p><p>&emsp;&emsp;而他的面前，無數許應合而爲一，嗤的一聲將他胸膛洞穿。</p>
</p><p>&emsp;&emsp;許應這一劍化作殺伐之劍，竟欲將裕川的輪迴大道斬斷，壞他億萬年修來的道行！</p>
</p><p>&emsp;&emsp;就在此時，一道劍光突如其來，斬向許應的頭顱，許應不假思索拔劍，迎上這一擊。</p>
</p><p>&emsp;&emsp;二人同爲殺伐之劍，殺氣充塞宇宙之間，許應手中的劍氣頓時斷去，卻長聲笑道：“修家的征伐道盡經，以殺伐爲根基，的確霸道。可惜，弗能勝我！”</p>
</p><p>&emsp;&emsp;他右手內扣，迎上修家族老修封的殺伐之劍，掌心中寂滅洪源陡然爆發，頃刻間便將整個皇極帝都上空遮蔽，彷彿要將混元宇宙寂滅了一般！</p>
</p><p>&emsp;&emsp;許應笑道：“修家長老，我送你去見大道！”</p>
</p><p>&emsp;&emsp;寂滅洪源吞下修封族老的殺伐之劍，修封臉色頓變，只覺自己的殺伐之劍落入寂滅洪源之中，更加助長寂滅洪源的威力！</p>
</p><p>&emsp;&emsp;那寂滅洪源眼看便要將修封一口吞下，突然又有一人殺來，正是帝族文家的族老文淵，擡手間，同樣是寂滅道力。</p>
</p><p>&emsp;&emsp;兩大寂滅洪源轟然碰撞，帝都上空，如同寂滅洪源爆發，竟然浮現出迴光返照的異象，將混元宇宙億萬年的歷史映照出來！</p>
</p><p>&emsp;&emsp;這一刻，元愛節中的年輕男女，沐浴在億萬年的時光之中，見證了這個古老無比的宇宙的發展，與生靈的繁衍進化！</p>
</p><p>&emsp;&emsp;“在我文家面前動用寂滅大道，自討苦吃！”</p>
</p><p>&emsp;&emsp;文淵冷哼一聲，調運寂滅大道，將所有回光聚攏，聚於掌心，大有將許應也寂滅掉的架勢！</p>
</p><p>&emsp;&emsp;許應調運鴻蒙道力，擊穿寂滅，與他手掌重重碰撞，文淵身形大震，周身寂滅天火黯淡了不少，嘴角溢血，忍不住後退一步。</p>
</p><p>&emsp;&emsp;許應近前一步，又是一掌穿出，文淵族老擡手硬接，頓時眼耳口鼻流血，周身寂滅天火更加黯淡。</p>
</p><p>&emsp;&emsp;許應再進一步，正欲將他格殺，其他帝族族老再難坐得住，紛紛殺來，各種帝家修持的大道，儘管施展，一發向他涌去！</p>
</p><p>&emsp;&emsp;許應見衆人來勢洶洶，各種帝族道法匯聚，成爲大道洪流，竟有要將自己滅殺的趨勢，不禁眼中兇光大作。</p>
</p><p>&emsp;&emsp;他不再調動各種大道破招，直接動用後天大道，頃刻間體內九道循證，虛空賦能，直接迸發出得道以來的巔峰一擊！</p>
