<title>《全職法師》▷ 第999章 終極引雷，爆！</title><br>&emsp;&emsp;龍息打來，莫凡高高的躍起，避開了從下方撲涌過來的毀滅龍息。<br>
<br>&emsp;&emsp;歹蛆僞龍又仰起頭，從喉嚨深處噴出了黑色的龍息，直打半空中的莫凡。<br>
<br>&emsp;&emsp;“念控！”<br>
<br>&emsp;&emsp;莫凡意念擴散到周圍，化作了千絲萬縷控制住了那些灑落在海水之中的快船殘骸。<br>
<br>&emsp;&emsp;一片片殘骸懸浮了起來，在莫凡面前組成了一堆凌亂的保護層，龍息吐在了這些殘骸上，立刻將它們化爲了烏有。<br>
<br>&emsp;&emsp;“寂雷死光！”<br>
<br>&emsp;&emsp;莫凡在半空中，狠狠的往歹蛆僞龍推出了一道帶着強大雷束的死光之光，死光光束筆直的打向了烏海僞龍的背鰭位置，將那裡的一大片鱗和肉都給擊穿了！<br>
<br>&emsp;&emsp;“嗷噢~~~~~！！！！”烏海僞龍疼得嗷叫了起來，仰起頭顱的那一刻，這狂風暴雨之中，竟然也開始凌亂的劈落下黑色的閃電。<br>
<br>&emsp;&emsp;烏海僞龍可是擁有雷屬性的，之前的那傢伙沒有機會釋放，歹蛆僞龍卻使用了這股力量。<br>
<br>&emsp;&emsp;黑色的閃電連續的轟落，朝着莫凡所在的位置就如同魔鬼之爪，無情的撕去。<br>
<br>&emsp;&emsp;雷電轟在淺礁上，淺礁都是化作了泡沫，強大的雷光逼得莫凡連連後退，根本不敢輕易的和這種烏雷做任何的接觸。<br>
<br>&emsp;&emsp;歹蛆僞龍盯着落荒而逃的莫凡，眼睛裡帶着幾分戲謔。<br>
<br>&emsp;&emsp;它朝着天空中吼出一聲，於是更多的烏黑色閃電降了下來，有時候十幾道雷電同時在莫凡那裡劈下，莫凡連躲避的餘地都沒有，只能夠憑藉着玄蛇鎧甲硬抗着……<br>
<br>&emsp;&emsp;在統領級中的戰鬥裡，玄蛇鎧甲已經不能夠像之前那樣完美抵擋了，那雷電劈得莫凡骨頭都散架了，耳邊劇烈的嗡鳴令他有些要昏厥過去的跡象。<br>
<br>&emsp;&emsp;“引……引……引雷！！”<br>
<br>&emsp;&emsp;莫凡咬着牙，居然開始強行將那些雷電引到他自己的身體上。<br>
<br>&emsp;&emsp;“你瘋了嗎！”穆寧雪看到莫凡這樣瘋狂的舉動，不由驚叫了起來。<br>
<br>&emsp;&emsp;歹蛆僞龍的烏雷強到那種程度，引雷到身上，就等於自取滅亡啊，即便是一個擁有領域的雷系法師也未必敢做這樣危險的事情，萬一身體承受不了這種雷電強度，就會直接爆體而亡！<br>
<br>&emsp;&emsp;烏雷亂舞，電弧扯開了上百米遠，扭動起來如同一頭巨型的黑色狂蟒，而這些雷電全部以莫凡爲中心在凌亂的擺動着，強大的電擊穿的莫凡血管都可以看見了，這種情況下那些脆弱的法師很可能直接灰飛煙滅！<br>
<br>&emsp;&emsp;“爲我……爲我……爲我所用！！”<br>
<br>&emsp;&emsp;莫凡咬着牙，強行將這些觸碰到自己身體的所有雷電給吸納住。<br>
<br>&emsp;&emsp;雷電是最躁動的元素，自身的雷系魔法要掌控好都是一件非常困難的事情，何況要把控住敵人釋放出來的雷電之力。<br>
<br>&emsp;&emsp;玄蛇鎧甲再強，也不能夠支撐住莫凡這樣承受雷擊，但莫凡並沒有就此將雷電從自己身上散去。<br>
<br>&emsp;&emsp;烏海僞龍還在不停的龍吟，喚出更多的烏雷，要將莫凡給劈成肉醬，而不管烏海僞龍打來多少狂雷，莫凡照單全收，此刻在他身體裡可謂是已經壓縮吸納了衆多暴躁的雷電之能，再多上一些，就會產生恐怖的雷爆！<br>
<br>&emsp;&emsp;“嚐嚐我的雷爆！”莫凡嘶吼了一聲，將全身吸納的烏雷徹底釋放了出去。<br>
<br>&emsp;&emsp;兩道烏黑色的死光同時打向了烏海僞龍，在烏海僞龍的面前交匯成了一個點。<br>
<br>&emsp;&emsp;雷與雷相撞，瞬間紫色與黑色吞噬了空間一般，周圍化作了死寂，唯有沖天而起的雷光在爆閃！<br>
<br>&emsp;&emsp;巨型的雷電光弧，那是一個紫色的擎天游龍在騰飛，驚天的雷電之軀貫穿了白色的雲和藍色的海洋，更可怕的是那席捲開的雷電狂暴，毀滅之能將萬噸海水蒸發，將礁窟轟斷，更將烏海僞龍身上的龍鱗和龍皮給化爲烏有，裸|露出血跡斑斑！<br>
<br>&emsp;&emsp;歹蛆僞龍的皮和鱗被撕開後，便可以看見它的身體裡並非是完全的龍肉，而是之前那些啃噬了烏海僞龍的白色蟻蛆，那些蟻蛆正在反哺，由此來組成歹蛆僞龍的整個完整的軀殼！<br>
